NO,課程碼,主開課程碼,開課單位,科目名稱,學分,選別,期次,授課教師/專長,授課語言,週別,星期,節次,教室,週別,星期,節次,教室,週別,星期,節次,教室,是否開放大四生上修,備註,可選課年級／分發優先順序,課程人數／屬性資料,通識領域／學群,是否開放選課條,大綱
158,D100237118,,圖資二,中小學圖書館與閱讀 School Librarianship and Reading 英-專業,2.00,選,學期,"曾品方 專長： 資訊組織,主題分析,資訊檢索,資訊行為,閱讀研究, 中小學圖書館",全英文,全,五(Fri),D5-D6,LE105,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
159,D100237844,,圖資二,讀者洞察與網路行銷 Reader Insight and Online Marketing 英-專業,2.00,選,學期,薛雅尤 專長： 圖書資訊學、行銷理論、品牌營運、策略行銷學、消費者行為、行銷數據分析,全英文,全,四(Thu),D5-D6,LE205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
160,D100306564,,圖資三,圖書館史 Library History.,2.00,選,學年,陳冠至 專長： 藏書史、版本學、目錄學、圖書史、圖書館史、圖書資訊學、史學,中文,全,五(Fri),D3-D4,LE105,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
161,D100331502,,圖資三,檔案管理與加值行銷 Archives Management and Marketing,2.00,選,學年,張嘉彬 專長： 檔案管理,中文,全,二(Tue),D7-D8,LE105,,,,,,,,,否,與「檔案管理」、「檔案加值、行銷與推廣」為相近課程，同學請勿重覆修習,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
162,D100332707,,圖資三,版本學與古籍保護 Chinese Ancient  Bibliology  and Books Preservation,2.00,選,學年,陳冠至 專長： 藏書史、版本學、目錄學、圖書史、圖書館史、圖書資訊學、史學,中文,全,四(Thu),D5-D6,LE105,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
163,D100335168,,圖資三,人工智慧應用實務 Artificial Intelligence with Applications and Practice 程,3.00,選,學期,周遵儒 專長： 人工智慧、色彩工程、文件分析與辨識、多媒體系統開發,中文,全,五(Fri),D5-D7,LE106,,,,,,,,,否,上機教室LE5A,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
164,D100337411,,圖資三,資訊架構與使用者體驗設計 Information Architecture and User Experience Design,2.00,選,學期,洪偉翔 專長： 圖書資訊學、資訊系統、網站架設,中文,全,三(Wed),D1-D2,LE106,,,,,,,,,否,上機教室LE403,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
165,D100337434,,圖資三,資訊使用者行為探索 Exploration of Information User Behavior,2.00,選,學年,"曾品方 專長： 資訊組織,主題分析,資訊檢索,資訊行為,閱讀研究, 中小學圖書館",中文,全,三(Wed),D3-D4,LE202,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
166,D110105214,,影傳一,電影發展史 Film History,2.00,選,學期,趙庭慧 專長： 電影美學、電影理論、電影歷史、性別研究、文本分析,中文,全,五(Fri),D3-D4,LF106,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
167,D110111811,,影傳一,聲音訓練 Voice Training,2.00,選,學期,張曉瑩 專長： 聲音訓練、進階聲音訓練、廣播節目企劃與製作,中文,全,五(Fri),D7-D8,LF207,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 32 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
168,D110116259,,影傳一,類型電影 Film Genre,2.00,選,學期,趙庭慧 專長： 電影美學、電影理論、電影歷史、性別研究、文本分析,中文,全,二(Tue),D5-D6,LF106,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
169,D110116276,,影傳一,進階劇本寫作 Advanced Screenwriting for Film and Television,2.00,選,學期,張其錚 專長： 電視新聞編輯、電視節目製作、電視創意企劃、電視採訪寫作,中文,全,四(Thu),D7-D8,LF207,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 36 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
170,D110116451,,影傳一,新媒體藝術概論 Introduction to New Media Arts 英-專業,2.00,選,學期,黃盟欽 專長： 新媒體科技藝術、策展規劃執行、數位媒體影音、互動藝術設計、錄像藝術,全英文,全,一(Mon),D7-D8,LE103,,,,,,,,,否,不開放人工加簽,最低年級： 一年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 75 外系： 15 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
171,D110137678,,影傳一,影像修復與典藏 Film Archiving and Restoration,2.00,選,學期,"黃慧敏 專長： 電影典藏與修復,電影風格分析",中文,全,一(Mon),D5-D6,LF207,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 42 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
172,D110203367,,影傳二,電台管理 Broadcating Management,2.00,選,學年,黃乃琦 專長： 傳播敘事、電視新聞製作、電視節目企劃與製作、影視史學、媒體全球化,中文,全,三(Wed),D7-D8,LF315,,,,,,,,,否,需先通過電台甄選面試,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
173,D110204978,,影傳二,電腦排版與設計 Desktop Publishing and Design,2.00,選,學期,游凱麟 專長： 影音特效、動畫藝術、視覺傳達、媒體製作、平面設計,中文,全,五(Fri),D7-D8,LE403,,,,,,,,,否,不開放外系加簽,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
174,D110217494,,影傳二,日本電影 Japanese Cinema,2.00,選,學期,趙庭慧 專長： 電影美學、電影理論、電影歷史、性別研究、文本分析,中文,全,二(Tue),D3-D4,LF106,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
175,D110218684,,影傳二,導演實務 Practicum in Film Directing,3.00,選,學期,胡美芳 專長： 劇情片製作、劇本寫作、導演實務、故事開發、數位後製、畢業專題,中文,全,五(Fri),D2-D4,LF207,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 36 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
176,D110220859,,影傳二,亞際電影 Introduction to Inter-Asia Cinema(s) 英-專業,2.00,選,學期,唐維敏 專長： 傳播研究方法、電影與文化、電影史、影視文學、傳播英文,全英文,全,三(Wed),D3-D4,LF110,,,,,,,,,否,不開放人工加簽,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 45 外系： 45 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
177,D110233760,,影傳二,策展實務 Curatorial Practice,2.00,選,學期,徐明瀚 專長： 影視文學,中文,全,四(Thu),D3-D4,LF107,,,,,,,,,否,本課程需籌備普洛影展,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
178,D110234061,,影傳二,進階影音節目企劃與製作 Advanced Audiovisual Program Project & Production,3.00,選,學期,黃乃琦 專長： 傳播敘事、電視新聞製作、電視節目企劃與製作、影視史學、媒體全球化,中文,全,四(Thu),D7-E0,LF307,,,,,,,,,否,不開放外系加簽,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
179,D110234319,,影傳二,影音配樂賞析 Appreciation of Music and Sound Concepts,2.00,選,學期,張曉瑩 專長： 聲音訓練、進階聲音訓練、廣播節目企劃與製作,中文,全,五(Fri),D5-D6,LF207,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 32 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
180,D110235858,,影傳二,印度電影 Indian Cinema 英-專業,2.00,選,學期,唐維敏 專長： 傳播研究方法、電影與文化、電影史、影視文學、傳播英文,全英文,全,一(Mon),D7-D8,LF107,,,,,,,,,否,不開放人工加簽,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 60 外系： 60 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
181,D110235859,,影傳二,當代西班牙電影 Spanish Contemporary Cinema 英-專業,2.00,選,學期,吳穎錫 專長： 美國社會、拉美區域整合、中國與拉美、歐盟研究,全英文,全,四(Thu),D5-D6,LF110,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 60 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
182,D110235861,,影傳二,AI技術與影像應用 AI Technology and Visual Application,2.00,選,學期,莊正旺 專長： 3D數位動畫,中文,全,一(Mon),D5-D6,LF301,,,,,,,,,否,不開放外系加簽,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 35 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
183,D110302678,,影傳三,劇情片製作 Fiction Film Production,3.00,選,學期,柯妧青 專長： 影視製作、導演實務、影像培力研究、女性主義電影、批判教育、多元文化教育,中文,全,四(Thu),D3-DN,LF210,,,,,,,,,否,不開放外系,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 36 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
184,D110311813,,影傳三,應用攝影 Applied Photography,2.00,選,學期,黃建亮 專長： 進階攝影,中文,全,四(Thu),D7-D8,LF210,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 36 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
185,D110315881,,影傳三,互動媒體設計 Interactive Media Design 程,2.00,選,學期,黃盟欽 專長： 新媒體科技藝術、策展規劃執行、數位媒體影音、互動藝術設計、錄像藝術,中文,全,三(Wed),D7-D8,LE404A,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
186,D110318320,,影傳三,影像後製 Avid & After Effect,2.00,選,學期,游凱麟 專長： 影音特效、動畫藝術、視覺傳達、媒體製作、平面設計,中文,全,一(Mon),D7-D8,LE402,,,,,,,,,否,多媒體組先修,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
187,D110320817,,影傳三,電視台實務 Practical Training in Television Programming,2.00,選,學期,常立欣 專長： 電視節目企劃與製作,中文,全,五(Fri),D5-D6,LF110,,,,,,,,,否,不開放外系加簽,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
188,D110330221,,影傳三,跨性別電影 Transgender Film,2.00,選,學期,趙庭慧 專長： 電影美學、電影理論、電影歷史、性別研究、文本分析,中文,全,一(Mon),D5-D6,LF106,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
189,D110330968,,影傳三,電視專題製作 TV Feature Production,2.00,選,學期,黃乃琦 專長： 傳播敘事、電視新聞製作、電視節目企劃與製作、影視史學、媒體全球化,中文,全,五(Fri),D3-D4,LF303,,,,,,,,,否,廣電組先修,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
190,D110332428,,影傳三,電影策劃實務 Film Programming and Exhibiting,2.00,選,學期,徐明瀚 專長： 影視文學,中文,全,四(Thu),D5-D6,LF107,,,,,,,,,否,畢籌組先修課,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
191,D110334246,,影傳三,影音剪輯創作實務 Video Editing Practice,2.00,選,學期,施博瀚 專長： 電影與戲劇剪輯、預告片剪輯、後期流程與專案管理、戲劇結構、敘事手法分析,中文,全,三(Wed),D3-D4,LF307,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 20 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
192,D110336737,,影傳三,3D設計與影像應用 3D Design and Visual Application,3.00,選,學年,莊正旺 專長： 3D數位動畫,中文,全,三(Wed),D7-E0,LF301,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 35 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
193,D110422817,,影傳四,電影文化 Film Culture,2.00,選,學期,趙庭慧 專長： 電影美學、電影理論、電影歷史、性別研究、文本分析,中文,全,一(Mon),D3-D4,LF106,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
194,D110432094,,影傳四,明星與流行文化 Popular Culture Stars and Celebrities 英-專業,2.00,選,學期,賴以瑄 專長： 媒介與文化研究、娛樂媒體的生產與消費、文化工作者研究、質性研究方法,全英文,全,一(Mon),D7-D8,LE201,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 45 外系： 30 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
195,D120102407,,新傳一,新聞攝影 Photojournalism,2.00,選,學期,楊光昇 專長： 新聞攝影,中文,全,五(Fri),D5-D6,LF303,,,,,,,,,否,"需先修過基礎攝影,使用器材僅開放傳播學院選修",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
196,D120135145,,新傳一,圖文編輯 News Design,3.00,選,學期,楊海蘭 專長： 新聞編輯、新聞採寫、媒體創新,中文,全,四(Thu),D2-D4,LF203,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 33 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
197,D120205952,,新傳二,臺灣傳播與歷史研究 Communications and History in  Taiwan,2.00,選,學期,許順成 專長： 傳播史、媒介與社會、媒介實務,中文,全,三(Wed),D7-D8,LF108,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 40 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
198,D120216181,,新傳二,媒體行銷與廣告策略 Media marketing and advertising,2.00,選,學期,張文強 專長： 傳播理論、社會學、媒介組織理論,中文,全,一(Mon),D3-D4,LF110,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
199,D120230201,,新傳二,新媒體內容技術與設計 New Media Techniques and Design 程,3.00,選,學期,吳泰輝 專長： 數位敘事與互動視覺化,中文,全,四(Thu),DN-D6,LE403,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 20 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
200,D120237129,,新傳二,主持與播報 Hosting and Broadcasting,2.00,選,學期,劉惠卿 專長： 影音新聞製作、深度報導、社會行銷,中文,全,五(Fri),D7-D8,LF315,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 16 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
201,D120314491,,新傳三,運動與媒體 Sport and Media,2.00,選,學期,文大培 專長： 運動與媒體,中文,全,四(Thu),E1-E2,LF108,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 20 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
202,D120322949,,新傳三,資訊視覺化 Data Visualization,3.00,選,學期,賴盈如 專長： 社群媒體研究、電腦中介傳播、傳播科技與社會,中文,全,四(Thu),D2-D4,SF337,,,,,,,,,否,,最低年級： 三年級 最高年級： 三年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
203,D120323488,,新傳三,醫療與媒體 Medical and Media,2.00,選,學期,許順成 專長： 傳播史、媒介與社會、媒介實務,中文,全,二(Tue),D5-D6,LF107,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 50 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
204,D120331573,,新傳三,國際關係與傳播 International Relations and Communication,2.00,選,學期,林鴻亦 專長： 傳播政治經濟學、國際關係與傳播、影像的社會實踐,中文,全,一(Mon),D3-D4,LF303,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
205,D120335143,,新傳三,影音深度報導 Advanced Broadcast Reporting,2.00,選,學期,劉惠卿 專長： 影音新聞製作、深度報導、社會行銷,中文,全,三(Wed),D3-D4,LF210,,,,,,,,,否,需先修過影音製作基礎課程,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
206,D120335838,,新傳三,影像文化與實踐 Practices of looking and visual culture,2.00,選,學期,林鴻亦 專長： 傳播政治經濟學、國際關係與傳播、影像的社會實踐,中文,全,二(Tue),D3-D4,LF303,,,,,,,,,否,第一堂課請務必到課,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
207,D120335863,,新傳三,進階國際新聞選讀 Advanced Selected Readings in International News 英-專業,2.00,選,學期,陳逸軒 專長： 英文,全英文,全,二(Tue),D7-D8,LF307,,,,,,,,,否,需先修過國際新聞選讀(英),最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
208,D120407321,,新傳四,出版經營學 Publishing Management,2.00,選,學期,許順成 專長： 傳播史、媒介與社會、媒介實務,中文,全,一(Mon),D3-D4,LF307,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 40 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
209,D120435144,,新傳四,新聞微型創業 Micro-entrepreneurship in Journalism,3.00,選,學期,廖怡景 專長： 創意研究、採訪寫作、微型創業、新聞學、傳播理論、研究方法,中文,全,三(Wed),D7-E0,LF210,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
210,D120435866,,新傳四,"運動、媒體與社會 Sports, Media and Society 英-專業",2.00,選,學期,陳鴻嘉 專長： 運動文化媒體複合體與運動全球化、資料處理與視覺化、追蹤調查的權數建構,全英文,全,三(Wed),D3-D4,LF207,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
211,D120436849,,新傳四,媒體傳播策略與危機管理 Media Communication Strategy and Crisis Management,2.00,選,學期,劉惠卿 專長： 影音新聞製作、深度報導、社會行銷,中文,全,一(Mon),D5-D6,LF303,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 30 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
212,D120436850,,新傳四,新聞媒體與永續報導 News Media and Sustainable Reporting 英-專業,2.00,選,學期,劉惠卿 專長： 影音新聞製作、深度報導、社會行銷,全英文,全,五(Fri),D3-D4,LF210,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
213,D130103362,,廣告一,國際廣告 International Advertising 英-專業,2.00,選,學期,洪雅慧 專長： 傳播研究方法、政治傳播、政治廣告、傳播統計,全英文,全,四(Thu),D5-D6,LF207,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 10 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
214,D130106950,,廣告一,設計繪畫 Design Painting,2.00,選,學期,游易霖 專長： 文化創意產業、數位內容_遊戲產業、視覺傳達設計、電腦動畫、動漫文本敘事,中文,全,四(Thu),D3-D4,LF106,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
215,D130107320A,,廣告一,電腦影像處理 Computer Image Processing,2.00,選,學期,林江輝 專長： 品牌形象設計、視覺傳達、設計心理、設計企劃、設計管理,中文,全,一(Mon),D5-D6,LF203,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 20 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
216,D130107320B,,廣告一,電腦影像處理 Computer Image Processing,2.00,選,學期,林江輝 專長： 品牌形象設計、視覺傳達、設計心理、設計企劃、設計管理,中文,全,一(Mon),D7-D8,LF203,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 20 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
217,D130202691A,,廣告二,廣告設計 Advertising Design,2.00,選,學年,林江輝 專長： 品牌形象設計、視覺傳達、設計心理、設計企劃、設計管理,中文,全,三(Wed),D3-D4,LF203,,,,,,,,,否,此門課為學年課程，未修過上學期廣告設計請勿選課,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 拒退拒加 拒退年級： 不設定,領域： 學群：,否,
218,D130202691B,,廣告二,廣告設計 Advertising Design,2.00,選,學年,林江輝 專長： 品牌形象設計、視覺傳達、設計心理、設計企劃、設計管理,中文,全,二(Tue),D3-D4,LF203,,,,,,,,,否,此門課為學年課程，未修過上學期廣告設計請勿選課,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
219,D130203369,,廣告二,廣告創意導論 Advertising Creativity,2.00,選,學期,龔大中 專長： 廣告創意導論,中文,全,五(Fri),D3-D4,LF315,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 65 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
220,D130233416,,廣告二,數位廣告影片製作 Commercial Video Production,2.00,選,學期,張恩光 專長： 互動媒體、影片與動畫製作、廣告創意、數位特效,中文,全,五(Fri),D5-D6,LF203,,,,,,,,,否,此堂課教室空間有限，不接受人工加簽,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 35 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
221,D130236831,,廣告二,傳播科技與策略規劃 Communication Technology & Strategic Planning,2.00,選,學期,張佩娟 專長： 廣告企劃、廣告策略、消費行為、廣告法規、研究方法、行銷策略、廣告學,中英文,全,一(Mon),D7-D8,LF110,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 20 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
222,D130237370,,廣告二,數位行銷與AI創新應用 Digital Marketing and AI Innovation Applications,2.00,選,學期,"陳巧捷 專長： 消費者觀察與分析,消費行為",中文,全,五(Fri),D7-D8,LF106,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 15 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
223,D130308078,,廣告三,媒體企劃實務 Media Planning Practice,2.00,選,學期,張佩娟 專長： 廣告企劃、廣告策略、消費行為、廣告法規、研究方法、行銷策略、廣告學,中文,全,四(Thu),D7-D8,LF106,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
224,D130315884,,廣告三,品牌行銷傳播 Brand Marketing Communications,2.00,選,學期,芮家楹 專長： 企業公關、品牌行銷傳播實務,中文,全,五(Fri),D7-D8,LF210,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
225,D130323277,,廣告三,績效行銷 Performance Marketing,2.00,選,學期,張志峰 專長： 數位媒體、大數據分析,中文,全,四(Thu),D5-D6,LF314,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
226,D130330387,,廣告三,設計思考與實踐 Human-Centered Design and User Studies,2.00,選,學年,"陳巧捷 專長： 消費者觀察與分析,消費行為",中文,全,二(Tue),D5-D6,LF315,,,,,,,,,否,此門課程為學年課，未修過上學期「設計思考與實踐」不得修課。,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
227,D130333417,,廣告三,數位廣告影片後期製作 Commercial Video Post-Production,2.00,選,學期,張恩光 專長： 互動媒體、影片與動畫製作、廣告創意、數位特效,中文,全,五(Fri),D7-D8,LF203,,,,,,,,,否,此堂課教室空間有限，不接受人工加簽,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 34 外系： 0 屬性： 拒退可加 拒退年級： 不設定,領域： 學群：,否,
